STUDY_ID	SAMPLE_ID	REST	MAPK8IP2	ATP1A3	RUNDC3A	CDK5R1	TLCD3B
gbm_tcga_pan_can_atlas_2018	TCGA-02-0058-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0182-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0211-01	0.9295	-0.8385	-0.6927	-0.5644	-0.6175	-0.6137
gbm_tcga_pan_can_atlas_2018	TCGA-19-0964-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0333-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-14-0817-01	-0.9055	-0.3921	-0.2645	0.2775	-0.3285	-0.5938
gbm_tcga_pan_can_atlas_2018	TCGA-06-0216-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0349-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-12-0707-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0197-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0281-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-14-0866-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-14-0813-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0397-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0432-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0121-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0260-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-14-0789-01	2.6688	-1.0213	-0.7389	-0.8845	-0.8294	-0.8297
gbm_tcga_pan_can_atlas_2018	TCGA-02-0422-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0048-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-12-0688-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0354-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0043-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0188-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0646-01	0.2397	0.4505	0.0687	0.0902	0.3286	0.3308
gbm_tcga_pan_can_atlas_2018	TCGA-02-0115-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0051-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0171-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0347-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0524-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0089-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0195-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0010-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-12-0821-01	-0.3594	-0.4821	-0.4883	-0.3941	0.2068	-0.5084
gbm_tcga_pan_can_atlas_2018	TCGA-02-0038-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-12-0780-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0520-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0157-01	-0.4136	0.1882	0.4636	-0.0689	0.337	0.3119
gbm_tcga_pan_can_atlas_2018	TCGA-12-0818-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0350-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-08-0392-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-02-0014-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0124-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-14-0871-01	-0.4233	-1.2093	-0.7609	-0.9357	-0.9352	-0.5116
gbm_tcga_pan_can_atlas_2018	TCGA-08-0245-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-06-0125-02	2.5665	0.4976	-0.0912	-0.4413	-0.4688	-0.5343
gbm_tcga_pan_can_atlas_2018	TCGA-06-0125-01	1.5842	-0.0152	-0.5993	-0.563	-0.4323	-0.2062
gbm_tcga_pan_can_atlas_2018	TCGA-06-0238-01	-1.3884	1.0463	0.655	1.9837	0.7262	0.9307
gbm_tcga_pan_can_atlas_2018	TCGA-06-0138-01	-1.6342	-0.0103	-0.3064	0.2864	-0.0693	0.2264
gbm_tcga_pan_can_atlas_2018	TCGA-06-0881-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-RR-A6KC-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-RR-A6KB-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-RR-A6KA-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-OX-A56R-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-87-5896-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-81-5911-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-81-5910-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6664-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6663-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6662-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6661-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6660-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6657-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6656-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6286-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6285-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6283-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6282-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6280-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6193-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6192-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-6191-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-4935-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-4934-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-76-4932-01	-0.2184	-0.8355	-0.726	-0.7341	-0.4665	-0.508
gbm_tcga_pan_can_atlas_2018	TCGA-76-4931-01	-0.374	0.7083	0.1521	0.3518	0.1969	-0.0332
gbm_tcga_pan_can_atlas_2018	TCGA-76-4929-01	0.0287	-0.4579	-0.4521	-0.0141	1.5346	0.8782
